Año;Ranking;DISTRITO;BARRIO;Vulnerabilidad
2019;121;05. Chamartín;   054. Hispanoamérica;0,0056
2019;128;05. Chamartín;   055. Nueva España;0,0054
2019;115;05. Chamartín;   056. Castilla;0,0058
2019;48;06. Tetuán;   061. Bellas Vistas;0,0082
2019;68;06. Tetuán;   062. Cuatro Caminos;0,0073
2019;69;06. Tetuán;   063. Castillejos;0,0072
2019;36;06. Tetuán;   064. Almenara;0,0086
2019;41;06. Tetuán;   065. Valdeacederas;0,0084
2019;42;06. Tetuán;   066. Berruguete;0,0084
2019;96;07. Chamberí;   071. Gaztambide;0,0062
2019;94;07. Chamberí;   072. Arapiles;0,0063
2019;100;07. Chamberí;   073. Trafalgar;0,0062
2019;116;07. Chamberí;   074. Almagro;0,0058
2019;105;07. Chamberí;   075. Ríos Rosas;0,0061
2019;120;07. Chamberí;   076. Vallehermoso;0,0056
2019;78;08. Fuencarral-El Pardo;   081. El Pardo;0,007
2019;113;08. Fuencarral-El Pardo;   082. Fuentelarreina;0,0058
2019;80;08. Fuencarral-El Pardo;   083. Peñagrande;0,0069
2019;67;08. Fuencarral-El Pardo;   084. Del Pilar;0,0073
2019;93;08. Fuencarral-El Pardo;   085. La Paz;0,0063
2019;81;08. Fuencarral-El Pardo;   086. Valverde;0,0069
2019;111;08. Fuencarral-El Pardo;   087. Mirasierra;0,0059
2019;114;08. Fuencarral-El Pardo;   088. El Goloso;0,0058
2019;87;09. Moncloa-Aravaca;   091. Casa de Campo;0,0065
2019;101;09. Moncloa-Aravaca;   092. Argüelles;0,0061
2019;110;09. Moncloa-Aravaca;   093. Ciudad Universitaria;0,0059
2019;82;09. Moncloa-Aravaca;   094. Valdezarza;0,0069
2019;127;09. Moncloa-Aravaca;   095. Valdemarín;0,0054
2019;131;09. Moncloa-Aravaca;   096. El Plantío;0,0053
2019;123;09. Moncloa-Aravaca;   097. Aravaca;0,0056
2019;27;10. Latina;   101. Los Cármenes;0,0093
2019;28;10. Latina;   102. Puerta del Ángel;0,0093
2019;30;10. Latina;   103. Lucero;0,0091
2019;33;10. Latina;   104. Aluche;0,0088
2019;35;10. Latina;   105. Campamento;0,0086
2019;49;10. Latina;   106. Cuatro Vientos;0,008
2019;34;10. Latina;   107. Las Águilas;0,0087
2019;23;11. Carabanchel;   111. Comillas;0,0096
2019;21;11. Carabanchel;   112. Opañel;0,0097
2019;9;11. Carabanchel;   113. San Isidro;0,0103
2019;14;11. Carabanchel;   114. Vista Alegre;0,0099
2019;11;11. Carabanchel;   115. Puerta Bonita;0,0102
2019;32;11. Carabanchel;   116. Buenavista;0,009
2019;16;11. Carabanchel;   117. Abrantes;0,0098
2019;25;12. Usera;   121. Orcasitas;0,0093
2019;12;12. Usera;   122. Orcasur;0,0101
2019;19;12. Usera;   123. San Fermín;0,0097
2019;13;12. Usera;   124. Almendrales;0,01
2019;15;12. Usera;   125. Moscardó;0,0098
2019;18;12. Usera;   126. Zofío;0,0098
2019;8;12. Usera;   127. Pradolongo;0,0105
2019;2;13. Puente de Vallecas;   131. Entrevías;0,0117
2019;1;13. Puente de Vallecas;   132. San Diego;0,0118
2019;7;13. Puente de Vallecas;   133. Palomeras Bajas;0,0105
2019;6;13. Puente de Vallecas;   134. Palomeras Sureste;0,0108
2019;4;13. Puente de Vallecas;   135. Portazgo;0,0113
2019;5;13. Puente de Vallecas;   136. Numancia;0,0113
2019;51;14. Moratalaz;   141. Pavones;0,008
2019;72;14. Moratalaz;   142. Horcajo;0,0072
2019;64;14. Moratalaz;   143. Marroquina;0,0074
2019;50;14. Moratalaz;   144. Media Legua;0,008
2019;40;14. Moratalaz;   145. Fontarrón;0,0084
2019;52;14. Moratalaz;   146. Vinateros;0,0079
2019;43;15. Ciudad Lineal;   151. Ventas;0,0083
2019;46;15. Ciudad Lineal;   152. Pueblo Nuevo;0,0082
2019;45;15. Ciudad Lineal;   153. Quintana;0,0083
2019;55;15. Ciudad Lineal;   154. La Concepción;0,0077
2019;62;15. Ciudad Lineal;   155. San Pascual;0,0074
2019;83;15. Ciudad Lineal;   156. San Juan Bautista;0,0067
2019;79;15. Ciudad Lineal;   157. Colina;0,007
2019;91;15. Ciudad Lineal;   158. Atalaya;0,0063
2019;86;15. Ciudad Lineal;   159. Costillares;0,0066
2019;112;16. Hortaleza;   161. Palomas;0,0058
2019;117;16. Hortaleza;   162. Piovera;0,0058
2019;77;16. Hortaleza;   163. Canillas;0,007
2019;56;16. Hortaleza;   164. Pinar del Rey;0,0076
2019;66;16. Hortaleza;   165. Apóstol Santiago;0,0073
2019;99;16. Hortaleza;   166. Valdefuentes;0,0062
2019;10;17. Villaverde;   171. Villaverde Alto, C.H. Villaverde;0,0103
2019;3;17. Villaverde;   172. San Cristóbal;0,0116
2019;31;17. Villaverde;   173. Butarque;0,0091
2019;20;17. Villaverde;   174. Los Rosales;0,0097
2019;17;17. Villaverde;   175. Los Ángeles;0,0098
2019;24;18. Villa de Vallecas;   181. Casco Histórico de Vallecas;0,0095
2019;47;18. Villa de Vallecas;   182. Santa Eugenia;0,0082
2019;53;18. Villa de Vallecas;   183. Ensanche de Vallecas;0,0078
2019;29;19. Vicálvaro;   191. Casco Histórico de Vicálvaro;0,0092
2019;57;19. Vicálvaro;   192. Valdebernardo;0,0076
2019;84;19. Vicálvaro;   193. Valderrivas;0,0067
2019;61;19. Vicálvaro;   194. El Cañaveral;0,0074
2019;39;20. San Blas;   201. Simancas;0,0085
2019;26;20. San Blas;   202. Hellín;0,0093
2019;22;20. San Blas;   203. Amposta;0,0097
2019;37;20. San Blas;   204. Arcos;0,0086
2019;76;20. San Blas;   205. Rosas;0,0071
2019;63;20. San Blas;   206. Rejas;0,0074
2019;38;20. San Blas;   207. Canillejas;0,0085
2019;74;20. San Blas;   208. El Salvador;0,0071
2019;122;21. Barajas;   211. Alameda de Osuna;0,0056
2019;60;21. Barajas;   212. Aeropuerto;0,0074
2019;73;21. Barajas;   213. Casco Histórico de Barajas;0,0072
2019;103;21. Barajas;   214. Timón;0,0061
2019;130;21. Barajas;   215. Corralejos;0,0053
2018;1;13. Puente de Vallecas;   132. San Diego;0,0121
2018;2;13. Puente de Vallecas;   131. Entrevías;0,0119
2018;3;13. Puente de Vallecas;   136. Numancia;0,0116
2018;4;17. Villaverde;   172. San Cristóbal;0,0116
2018;5;13. Puente de Vallecas;   135. Portazgo;0,0116
2018;6;13. Puente de Vallecas;   134. Palomeras Sureste;0,0111
2018;7;13. Puente de Vallecas;   133. Palomeras Bajas;0,0108
2018;8;12. Usera;   127. Pradolongo;0,0106
2018;9;11. Carabanchel;   113. San Isidro;0,0104
2018;10;17. Villaverde;   171. San Andrés;0,0103
2018;11;11. Carabanchel;   115. Puerta Bonita;0,0103
2018;12;12. Usera;   124. Almendrales;0,0103
2018;13;12. Usera;   126. Zofio;0,0102
2018;14;11. Carabanchel;   114. Vista Alegre;0,0101
2018;15;11. Carabanchel;   117. Abrantes;0,0101
2018;16;12. Usera;   122. Orcasur;0,0101
2018;17;12. Usera;   125. Moscardó;0,01
2018;18;20. San Blas;   203. Amposta;0,0099
2018;19;12. Usera;   123. San Fermín;0,0099
2018;20;11. Carabanchel;   112. Opañel;0,0098
2018;21;11. Carabanchel;   111. Comillas;0,0098
2018;22;17. Villaverde;   175. Los Ángeles;0,0098
2018;23;17. Villaverde;   174. Los Rosales;0,0098
2018;24;20. San Blas;   202. Hellín;0,0096
2018;25;12. Usera;   121. Orcasitas;0,0096
2018;26;10. Latina;   102. Puerta del Angel;0,0094
2018;27;10. Latina;   101. Cármenes;0,0094
2018;28;10. Latina;   103. Lucero;0,0093
2018;29;19. Vicálvaro;   192. Ambroz;0,0092
2018;30;11. Carabanchel;   116. Buenavista;0,0092
2018;31;17. Villaverde;   173. Butarque;0,0091
2018;32;06. Tetuán;   064. Almenara;0,009
2018;33;10. Latina;   104. Aluche;0,0089
2018;34;10. Latina;   107. Las Águilas;0,0089
2018;35;18. Villa de Vallecas;   181. Casco Histórico de Vallecas;0,0089
2018;36;20. San Blas;   204. Arcos;0,0088
2018;37;20. San Blas;   207. Canillejas;0,0088
2018;38;20. San Blas;   201. Simancas;0,0088
2018;39;06. Tetuán;   066. Berruguete;0,0088
2018;40;10. Latina;   105. Campamento;0,0088
2018;41;06. Tetuán;   065. Valdeacederas;0,0087
2018;42;01. Centro;   012. Embajadores;0,0086
2018;43;06. Tetuán;   061. Bellas Vistas;0,0086
2018;44;14. Moratalaz;   145. Fontarrón;0,0086
2018;45;15. Ciudad Lineal;   153. Quintana;0,0085
2018;46;15. Ciudad Lineal;   152. Pueblo Nuevo;0,0084
2018;47;15. Ciudad Lineal;   151. Ventas;0,0084
2018;48;18. Villa de Vallecas;   182. Santa Eugenia;0,0083
2018;49;10. Latina;   106. Cuatro Vientos;0,0082
2018;50;14. Moratalaz;   146. Vinateros;0,0081
2018;51;14. Moratalaz;   144. Media Legua;0,0081
2018;52;19. Vicálvaro;   191. Casco Histórico de Vicálvaro;0,008
2018;53;01. Centro;   016. Sol;0,0079
2018;54;14. Moratalaz;   141. Pavones;0,0079
2018;55;01. Centro;   015. Universidad;0,0079
2018;56;01. Centro;   013. Cortes;0,0078
2018;57;01. Centro;   011. Palacio;0,0078
2018;58;15. Ciudad Lineal;   154. Concepción;0,0078
2018;59;16. Hortaleza;   164. Pinar del Rey;0,0078
2018;60;20. San Blas;   206. Rejas;0,0077
2018;61;21. Barajas;   212. Aeropuerto;0,0077
2018;62;06. Tetuán;   062. Cuatro Caminos;0,0076
2018;63;06. Tetuán;   063. Castillejos;0,0076
2018;64;02. Arganzuela;   023. Chopera;0,0076
2018;65;15. Ciudad Lineal;   155. San Pascual;0,0076
2018;66;14. Moratalaz;   143. Marroquina;0,0075
2018;67;08. Fuencarral-El Pardo;   084. Pilar;0,0075
2018;68;01. Centro;   014. Justicia;0,0075
2018;69;21. Barajas;   213. Casco Histórico de Barajas;0,0075
2018;70;02. Arganzuela;   026. Palos de Moguer;0,0074
2018;71;16. Hortaleza;   165. Apóstol Santiago;0,0074
2018;72;14. Moratalaz;   142. Horcajo;0,0073
2018;73;20. San Blas;   208. Salvador;0,0073
2018;74;20. San Blas;   205. Rosas;0,0073
2018;75;08. Fuencarral-El Pardo;   081. El Pardo;0,0072
2018;76;16. Hortaleza;   163. Canillas;0,0072
2018;77;08. Fuencarral-El Pardo;   086. Valverde;0,0071
2018;78;09. Moncloa-Aravaca;   094. Valdezarza;0,0071
2018;79;08. Fuencarral-El Pardo;   083. Peñagrande;0,007
2018;80;15. Ciudad Lineal;   156. San Juan Bautista;0,007
2018;81;15. Ciudad Lineal;   157. Colina;0,007
2018;82;02. Arganzuela;   025. Delicias;0,0069
2018;83;02. Arganzuela;   027. Atocha;0,0068
2018;84;02. Arganzuela;   021. Imperial;0,0067
2018;85;02. Arganzuela;   022. Acacias;0,0067
2018;86;15. Ciudad Lineal;   159. Costillares;0,0067
2018;87;09. Moncloa-Aravaca;   091. Casa de Campo;0,0066
2018;88;15. Ciudad Lineal;   158. Atalaya;0,0066
2018;89;05. Chamartín;   053. Ciudad Jardín;0,0065
2018;90;08. Fuencarral-El Pardo;   085. La Paz;0,0064
2018;91;05. Chamartín;   052. Prosperidad;0,0064
2018;92;04. Salamanca;   043. Fuente del Berro;0,0064
2018;93;07. Chamberí;   072. Arapiles;0,0064
2018;94;07. Chamberí;   071. Gaztambide;0,0063
2018;95;07. Chamberí;   073. Trafalgar;0,0063
2018;96;16. Hortaleza;   166. Valdefuentes;0,0063
2018;97;03. Retiro;   032. Adelfas;0,0063
2018;98;21. Barajas;   214. Timón;0,0062
2018;99;04. Salamanca;   044. Guindalera;0,0062
2018;100;09. Moncloa-Aravaca;   092. Argüelles;0,0062
2018;101;07. Chamberí;   075. Ríos Rosas;0,0062
2018;102;02. Arganzuela;   024. Legazpi;0,0062
2018;103;04. Salamanca;   045. Lista;0,0062
2018;104;03. Retiro;   031. Pacífico;0,0062
2018;105;04. Salamanca;   042. Goya;0,0062
2018;106;03. Retiro;   034. Ibiza;0,0061
2018;107;08. Fuencarral-El Pardo;   082. Fuentelarreina;0,006
2018;108;09. Moncloa-Aravaca;   093. Ciudad Universitaria;0,006
2018;109;08. Fuencarral-El Pardo;   087. Mirasierra;0,006
2018;110;16. Hortaleza;   162. Piovera;0,006
2018;111;16. Hortaleza;   161. Palomas;0,006
2018;112;08. Fuencarral-El Pardo;   088. El Goloso;0,0059
2018;113;07. Chamberí;   074. Almagro;0,0059
2018;114;05. Chamartín;   056. Castilla;0,0059
2018;115;07. Chamberí;   076. Vallehermoso;0,0058
2018;116;21. Barajas;   211. Alameda de Osuna;0,0058
2018;117;04. Salamanca;   046. Castellana;0,0058
2018;118;05. Chamartín;   054. Hispanoamérica;0,0057
2018;119;03. Retiro;   033. Estrella;0,0057
2018;120;09. Moncloa-Aravaca;   097. Aravaca;0,0057
2018;121;03. Retiro;   035. Jerónimos;0,0056
2018;122;04. Salamanca;   041. Recoletos;0,0056
2018;123;05. Chamartín;   055. Nueva España;0,0055
2018;124;03. Retiro;   036. Niño Jesús;0,0055
2018;125;09. Moncloa-Aravaca;   096. El Plantío;0,0055
2018;126;05. Chamartín;   051. El Viso;0,0054
2018;127;09. Moncloa-Aravaca;   095. Valdemarín;0,0054
2018;128;21. Barajas;   215. Corralejos;0,0054
